,Check,with,Pin
View : av_func_setup_pw_vmin_tmin_cw
Startpoint : (R) u_cyip_dig_arka_top/u_cyip_dig_arka_core/u_cyip_dig_socexp_top/u_cyip_dig_gmu_top/u_cyip_dig_crpmu/u_gen_clk_div2_sub1g_clk/s_change_detect_sr_reg_2_/CK
Clock : (R) pll_mux_clk
Endpoint : (R) u_cyip_dig_arka_top/u_cyip_dig_arka_core/u_cyip_dig_socexp_top/u_cyip_dig_gmu_top/u_cyip_dig_crpmu/u_gen_clk_div2_sub1g_clk/div_ratio_d3_reg_1_/D
Clock : (R) pll_mux_clk
Slack : =   -0.627
Instance_name,trans,fanout,delay
u_cyip_dig_arka_top/u_cyip_dig_arka_core/u_cyip_dig_socexp_top/u_cyip_dig_gmu_top/u_cyip_dig_crpmu/u_gen_clk_div2_sub1g_clk/CTS_cdb_buf_23006,0.062,1,0.094
u_cyip_dig_arka_top/u_cyip_dig_arka_core/u_cyip_dig_socexp_top/u_cyip_dig_gmu_top/u_cyip_dig_crpmu/u_gen_clk_div2_sub1g_clk/CTS_cdb_buf_23007,0.060,1,0.072
u_cyip_dig_arka_top/u_cyip_dig_arka_core/u_cyip_dig_socexp_top/u_cyip_dig_gmu_top/u_cyip_dig_crpmu/u_gen_clk_div2_sub1g_clk/CTS_cpc_drv_buf_27301,0.026,1,0.088
u_cyip_dig_arka_top/u_cyip_dig_arka_core/u_cyip_dig_socexp_top/u_cyip_dig_gmu_top/u_cyip_dig_crpmu/u_gen_clk_div2_sub1g_clk/CTS_cdb_buf_23008,0.083,1,0.110
u_cyip_dig_arka_top/u_cyip_dig_arka_core/u_cyip_dig_socexp_top/u_cyip_dig_gmu_top/u_cyip_dig_crpmu/u_gen_clk_div2_sub1g_clk/CTS_cdb_buf_23009,0.068,1,0.100
u_cyip_dig_arka_top/u_cyip_dig_arka_core/u_cyip_dig_socexp_top/u_cyip_dig_gmu_top/u_cyip_dig_crpmu/u_gen_clk_div2_sub1g_clk/CTS_cdb_buf_23010,0.062,1,0.086
u_cyip_dig_arka_top/u_cyip_dig_arka_core/u_cyip_dig_socexp_top/u_cyip_dig_gmu_top/u_cyip_dig_crpmu/u_gen_clk_div2_sub1g_clk/CTS_cdb_buf_23011,0.048,1,0.095
u_cyip_dig_arka_top/u_cyip_dig_arka_core/u_cyip_dig_socexp_top/u_cyip_dig_gmu_top/u_cyip_dig_crpmu/u_gen_clk_div2_sub1g_clk/CTS_cdb_buf_23012,0.077,1,0.111
u_cyip_dig_arka_top/u_cyip_dig_arka_core/u_cyip_dig_socexp_top/u_cyip_dig_gmu_top/u_cyip_dig_crpmu/u_gen_clk_div2_sub1g_clk/CTS_cdb_buf_23013,0.075,1,0.099
u_cyip_dig_arka_top/u_cyip_dig_arka_core/u_cyip_dig_socexp_top/u_cyip_dig_gmu_top/u_cyip_dig_crpmu/u_gen_clk_div2_sub1g_clk/CTS_cdb_buf_23014,0.054,1,0.092
